"id","company","name","country","continent","latitude","longitude","timezone"
11,"Other","Liseberg","Sweden","Europe","57.6952191","11.9924641","Europe/Stockholm"
320,"Other","PanoraMagique","France","Europe","48.86901442","2.78646006","Europe/Paris"
49,"Other","Paultons Park","England","Europe","50.948542","-1.552557","Europe/London"
56,"Other","Phantasialand","Germany","Europe","50.8","6.879444","Europe/Berlin"
305,"Other","Toverland","Netherlands","Europe","51.396","5.986","Europe/Amsterdam"
304,"Other","Vulcania","France","Europe","45.813449","2.940501","Europe/Paris"
311,"Parques Reunidos","Bobbejaanland","Belgium","Europe","51.201111","4.905","Europe/Brussels"
312,"Parques Reunidos","Kennywood","United States","North America","40.38682123","-79.86212422","America/New_York"
313,"Parques Reunidos","Lake Compounce","United States","North America","41.64330388","-72.92274692","America/New_York"
310,"Parques Reunidos","Movie Park Germany","Germany","Europe","51.6206067","6.97212649","Europe/Berlin"
321,"Parques Reunidos","Parque de Atracciones Madrid","Spain","Europe","40.411289","-3.751789","Europe/Madrid"
298,"Parques Reunidos","Parque Warner Madrid","Spain","Europe","40.23","-3.5937","Europe/Madrid"
302,"Plopsa","Holiday Park","Germany","Europe","49.319722","8.294722","Europe/Berlin"
54,"Plopsa","Plopsaland De Panne","Belgium","Europe","51.079722","2.596944","Europe/Brussels"
277,"PortAventura World","Ferrari Land","Spain","Europe","41.0878286","1.1572475","Europe/Madrid"
19,"PortAventura World","PortAventura Park","Spain","Europe","41.0878286","1.1572475","Europe/Madrid"
97,"SeaWorld Parks & Entertainment","Adventure Island","United States","North America","28.04174441","-82.4131981","America/New_York"
94,"SeaWorld Parks & Entertainment","Aquatica Orlando","United States","North America","28.41543304","-81.45566791","America/New_York"
306,"SeaWorld Parks & Entertainment","Aquatica San Antonio","United States","North America","29.45930638","-98.69817399","America/Denver"
307,"SeaWorld Parks & Entertainment","Aquatica San Diego","United States","North America","32.58751245","-117.01089878","America/Los_Angeles"
24,"SeaWorld Parks & Entertainment","Busch Gardens Tampa","United States","North America","28.0363515","-82.4224574","America/New_York"
23,"SeaWorld Parks & Entertainment","Busch Gardens Williamsburg","United States","North America","37.235165","-76.6465769","America/New_York"
308,"SeaWorld Parks & Entertainment","Discovery Cove Orlando","United States","North America","28.40488484","-81.46249679","America/New_York"
21,"SeaWorld Parks & Entertainment","Seaworld Orlando","United States","North America","28.4114555","-81.4617047","America/New_York"
22,"SeaWorld Parks & Entertainment","Seaworld San Antonio","United States","North America","29.45836","-98.700551","America/Denver"
20,"SeaWorld Parks & Entertainment","Seaworld San Diego","United States","North America","32.7647903","-117.2266083","America/Los_Angeles"
29,"SeaWorld Parks & Entertainment","Sesame Place","United States","North America","29.6351835","-95.3269418","America/New_York"
96,"SeaWorld Parks & Entertainment","Water Country USA","United States","North America","37.26258412","-76.63706537","America/New_York"
282,"Six Flags Entertainment Corporation","Frontier City","United States","North America","35.584845","-97.44099","America/Chicago"
48,"Six Flags Entertainment Corporation","La Ronde, Montreal","Canada","North America","45.5225","-73.535","America/Toronto"
42,"Six Flags Entertainment Corporation","Six Flags America","United States","North America","38.9062","-76.77257","America/New_York"
281,"Six Flags Entertainment Corporation","Six Flags Darien Lake","United States","North America","42.92851","-78.38488","America/New_York"
33,"Six Flags Entertainment Corporation","Six Flags Discovery Kingdom","United States","North America","38.1378","122.23","America/Los_Angeles"
39,"Six Flags Entertainment Corporation","Six Flags Fiesta Texas","United States","North America","29.5995","-98.6094","America/Chicago"
37,"Six Flags Entertainment Corporation","Six Flags Great Adventure","United States","North America","40.137697","-74.440458","America/New_York"
38,"Six Flags Entertainment Corporation","Six Flags Great America","United States","North America","42.369997","-87.935794","America/Chicago"
45,"Six Flags Entertainment Corporation","Six Flags Great Escape","United States","North America","43.350991","-73.690112","America/New_York"
44,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor New Jersey","United States","North America","40.137697","-74.440458","America/New_York"
40,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Arlington","United States","North America","32.7557","-97.070222","America/Chicago"
293,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Concord","United States","North America","37.974","-122.0512","America/Los_Angeles"
41,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Los Angeles","United States","North America","34.424918","-118.594425","America/Los_Angeles"
292,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Oaxtepec","United States","North America","18.8967","-98.9754","America/Mexico_City"
294,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Oklahoma City","United States","North America","33.959128","-84.519548","America/Chicago"
295,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Phoenix","United States","North America","33.6962","-112.1503","America/Phoenix"
297,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, Rockford","United States","North America","42.370244","-87.935916","America/Chicago"
296,"Six Flags Entertainment Corporation","Six Flags Hurricane Harbor, SplashTown","United States","North America","30.5088","-95.4919","America/Chicago"
32,"Six Flags Entertainment Corporation","Six Flags Magic Mountain","United States","North America","34.4238","-118.5971","America/Los_Angeles"
47,"Six Flags Entertainment Corporation","Six Flags Mexico","Mexico","North America","19.295","-99.209","America/Toronto"
43,"Six Flags Entertainment Corporation","Six Flags New England","United States","North America","42.0377","-72.6157","America/New_York"
35,"Six Flags Entertainment Corporation","Six Flags Over Georgia","United States","North America","33.76787","-84.55065","America/New_York"
34,"Six Flags Entertainment Corporation","Six Flags Over Texas","United States","North America","32.7557","-97.070222","America/Chicago"
36,"Six Flags Entertainment Corporation","Six Flags St. Louis","United States","North America","38.512806","-90.67505","America/Chicago"
46,"Six Flags Entertainment Corporation","Six Flags White Water, Atlanta","United States","North America","33.958056","-84.521389","America/New_York"
64,"Universal Parks & Resorts","Islands Of Adventure At Universal Orlando","United States","North America","28.472243","-81.4678556","America/New_York"
65,"Universal Parks & Resorts","Universal Studios At Universal Orlando","United States","North America","28.4749822","-81.466497","America/New_York"
66,"Universal Parks & Resorts","Universal Studios Hollywood","United States","North America","34.137261","-118.355516","America/Los_Angeles"
284,"Universal Parks & Resorts","Universal Studios Japan","Japan","Asia","34.665482","135.43236","Asia/Tokyo"
67,"Universal Parks & Resorts","Universal Volcano Bay","United States","North America","28.4623","-81.4707","America/New_York"
8,"Walt Disney Attractions","Animal Kingdom","United States","North America","28.3530666","-81.5911943","America/New_York"
17,"Walt Disney Attractions","Disney California Adventure","United States","North America","33.8058755","-117.9194899","America/Los_Angeles"
7,"Walt Disney Attractions","Disney Hollywood Studios","United States","North America","28.3575294","-81.5582714","America/New_York"
6,"Walt Disney Attractions","Disney Magic Kingdom","United States","North America","28.417663","-81.581212","America/New_York"
16,"Walt Disney Attractions","Disneyland","United States","North America","33.8104856","-117.9190001","America/Los_Angeles"
31,"Walt Disney Attractions","Disneyland Hong Kong","Hong Kong","Asia","22.3133","114.0433","Asia/Hong_Kong"
4,"Walt Disney Attractions","Disneyland Park Paris","France","Europe","48.8722344","2.7758079","Europe/Paris"
5,"Walt Disney Attractions","Epcot","United States","North America","28.374694","-81.549404","America/New_York"
30,"Walt Disney Attractions","Shanghai Disney Resort","China","Asia","31.144","121.657","Asia/Shanghai"
275,"Walt Disney Attractions","Tokyo Disney Resort Disney Sea","Japan","Asia","35.627055","139.889097","Asia/Tokyo"
274,"Walt Disney Attractions","Tokyo Disney Resort Magic Kingdom","Japan","Asia","35.634848","139.879295","Asia/Tokyo"
28,"Walt Disney Attractions","Walt Disney Studios Paris","France","Europe","48.8722344","2.7758079","Europe/Paris"
